state_name,state_code,data_center_name,capacity,country
Andaman and Nicobar Islands,AN,IN-AN,47,
Andhra Pradesh,AP,IN-AP,18159,
Arunachal Pradesh,AR,IN-AR,387,
Assam,AS,IN-AS,6818,
Bihar,BR,IN-BR,7549,
Chandigarh,CH,IN-CH;CHD,164,
Chhattisgarh,CT,IN-CT;CG,1260,
Dadra and Nagar Haveli,DN,IN-DN;DNH,179,
Daman and Diu,DD,IN-DD,179,
Delhi,DL,IN-DL;DEL,17407,
Goa,GA,IN-GA,1272,
Gujarat,GJ,IN-GJ;GUJ,11289,
Haryana,HR,IN-HR,5495,
Himachal Pradesh,HP,IN-HP,5495,
Jammu and Kashmir,JK,IN-JK,5488,
Jharkhand,JH,IN-JH,2069,
Karnataka,KA,IN-KA;KRN,30661,
Kerala,KL,IN-KL;KER,5376,
Lakshadweep,LD,IN-LD;LKP,0,
Madhya Pradesh,MP,IN-MP,5562,
Maharashtra,MH,IN-MH;MAH,114947,
Manipur,MN,IN-MN;MNP,635,
Meghalaya,ML,IN-ML;MEG,309,
Mizoram,MZ,IN-MZ;MIZ,112,
Nagaland,NL,IN-NL;NLD,525,
Odisha,OR,IN-OR;OD;Orissa,4436,
Puducherry,PY,IN-PY;PDY,774,
Punjab,PB,IN-PB,2587,
Rajasthan,RJ,IN-RJ;RAJ,6666,
Sikkim,SK,IN-SK;SKM,155,
Tamil Nadu,TN,IN-TN,46717,
Telangana,TG,IN-TG;TS,13327,
Tripura,TR,IN-TR;TRP,676,
Uttar Pradesh,UP,IN-UP,15720,
Uttarakhand,UT,IN-UT;UK;UA;Uttaranchal,937,
West Bengal,WB,IN-WB,13679,
