"Time","Interface ens18: Bits received","Interface ens18: Bits sent"
2021-04-09 05:24:00,1.568 kb/s,1.008 kb/s
2021-04-09 05:27:00,1.536 kb/s,1.152 kb/s
2021-04-09 05:30:00,1.928 kb/s,1.384 kb/s
2021-04-09 05:33:00,1.560 kb/s,1.144 kb/s
2021-04-09 05:36:00,1.648 kb/s,1.400 kb/s
2021-04-09 05:39:00,1.672 kb/s,1.416 kb/s
2021-04-09 05:42:00,1.784 kb/s,1.384 kb/s
2021-04-09 05:45:00,1.736 kb/s,1.400 kb/s
2021-04-09 05:48:00,1.768 kb/s,1.296 kb/s
2021-04-09 05:51:00,1.888 kb/s,1.392 kb/s
2021-04-09 05:54:00,1.656 kb/s,1.216 kb/s
2021-04-09 05:57:00,1.544 kb/s,928 b/s
2021-04-09 06:00:00,1.664 kb/s,1.208 kb/s
2021-04-09 06:03:00,1.776 kb/s,1.248 kb/s
2021-04-09 06:06:00,1.776 kb/s,1.272 kb/s
2021-04-09 06:09:00,1.768 kb/s,1.360 kb/s
2021-04-09 06:12:00,1.776 kb/s,1.408 kb/s
2021-04-09 06:15:00,1.728 kb/s,1.408 kb/s
2021-04-09 06:18:00,1.840 kb/s,1.416 kb/s
2021-04-09 06:21:00,1.664 kb/s,1.368 kb/s
2021-04-09 06:24:00,1.784 kb/s,1.320 kb/s
2021-04-09 06:27:00,1.632 kb/s,1.080 kb/s
2021-04-09 06:30:00,1.752 kb/s,1.216 kb/s
2021-04-09 06:33:00,1.744 kb/s,1.200 kb/s
2021-04-09 06:36:00,1.640 kb/s,1.296 kb/s
2021-04-09 06:39:00,1.848 kb/s,1.392 kb/s
2021-04-09 06:42:00,1.680 kb/s,1.384 kb/s
2021-04-09 06:45:00,1.816 kb/s,1.384 kb/s
2021-04-09 06:48:00,1.736 kb/s,1.440 kb/s
2021-04-09 06:51:00,1.672 kb/s,1.432 kb/s
2021-04-09 06:54:00,1.824 kb/s,1.368 kb/s
2021-04-09 06:57:00,1.592 kb/s,1.152 kb/s
2021-04-09 07:00:00,202 kb/s,4.752 kb/s
2021-04-09 07:03:00,54.1 kb/s,2.056 kb/s
2021-04-09 07:06:00,1.624 kb/s,1.168 kb/s
2021-04-09 07:09:00,1.784 kb/s,1.424 kb/s
2021-04-09 07:12:00,1.624 kb/s,1.368 kb/s
2021-04-09 07:15:00,1.768 kb/s,1.480 kb/s
2021-04-09 07:18:00,1.792 kb/s,1.376 kb/s
2021-04-09 07:21:00,1.656 kb/s,1.416 kb/s
2021-04-09 07:24:00,1.624 kb/s,1.336 kb/s
2021-04-09 07:27:00,1.544 kb/s,1.112 kb/s
2021-04-09 07:30:00,1.592 kb/s,1.080 kb/s
2021-04-09 07:33:00,1.680 kb/s,1.312 kb/s
