"Time","System uptime"
2021-04-09 05:23:00,11:26:27
2021-04-09 05:24:00,11:27:27
2021-04-09 05:25:00,11:28:27
2021-04-09 05:26:00,11:29:27
2021-04-09 05:27:00,11:30:27
2021-04-09 05:28:00,11:31:27
2021-04-09 05:29:00,11:32:27
2021-04-09 05:30:00,11:33:27
2021-04-09 05:31:00,11:34:27
2021-04-09 05:32:00,11:35:27
2021-04-09 05:33:00,11:36:27
2021-04-09 05:34:00,11:37:27
2021-04-09 05:35:00,11:38:27
2021-04-09 05:36:00,11:39:27
2021-04-09 05:37:00,11:40:27
2021-04-09 05:38:00,11:41:27
2021-04-09 05:39:00,11:42:27
2021-04-09 05:40:00,11:43:26
2021-04-09 05:41:00,11:44:26
2021-04-09 05:42:00,11:45:26
2021-04-09 05:43:00,11:46:26
2021-04-09 05:44:00,11:47:26
2021-04-09 05:45:00,11:48:26
2021-04-09 05:46:00,11:49:26
2021-04-09 05:47:00,11:50:26
2021-04-09 05:48:00,11:51:26
2021-04-09 05:49:00,11:52:26
2021-04-09 05:50:00,11:53:27
2021-04-09 05:51:00,11:54:27
2021-04-09 05:52:00,11:55:27
2021-04-09 05:53:00,11:56:27
2021-04-09 05:54:00,11:57:27
2021-04-09 05:55:00,11:58:27
2021-04-09 05:56:00,11:59:27
2021-04-09 05:57:00,12:00:27
2021-04-09 05:58:00,12:01:27
2021-04-09 05:59:00,12:02:26
2021-04-09 06:00:00,12:03:27
2021-04-09 06:01:00,12:04:27
2021-04-09 06:02:00,12:05:27
2021-04-09 06:03:00,12:06:27
2021-04-09 06:04:00,12:07:27
2021-04-09 06:05:00,12:08:27
2021-04-09 06:06:00,12:09:26
2021-04-09 06:07:00,12:10:26
2021-04-09 06:08:00,12:11:27
2021-04-09 06:09:00,12:12:27
2021-04-09 06:10:00,12:13:27
2021-04-09 06:11:00,12:14:26
2021-04-09 06:12:00,12:15:26
2021-04-09 06:13:00,12:16:26
2021-04-09 06:14:00,12:17:26
2021-04-09 06:15:00,12:18:26
2021-04-09 06:16:00,12:19:26
2021-04-09 06:17:00,12:20:26
2021-04-09 06:18:00,12:21:26
2021-04-09 06:19:00,12:22:26
